,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
80,2022/02/27,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,177097.0873
83,2022/02/28,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,175565.8624
86,2022/03/01,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,180549.1235
89,2022/03/02,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,165204.8903
92,2022/03/03,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,189485.1469
95,2022/03/04,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,156645.7592
98,2022/03/05,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,198792.0815
101,2022/03/06,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179622.3293
104,2022/03/07,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,174868.6776
107,2022/03/08,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,170232.9009
110,2022/03/09,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,153828.873
113,2022/03/10,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,162161.9674
116,2022/03/11,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,163108.4364
119,2022/03/12,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,197457.3437
122,2022/03/13,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,181541.964
125,2022/03/14,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,179636.7733
128,2022/03/15,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,189149.331
131,2022/03/16,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,148503.3994
134,2022/03/17,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,160911.3276
137,2022/03/18,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,157664.0455
140,2022/03/19,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,201273.9886
143,2022/03/20,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,184933.8921
146,2022/03/21,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,181156.4826
149,2022/03/22,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,163503.9711
152,2022/03/23,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,139834.121
155,2022/03/24,1-3--,菓子類,1008--009,RDS06 スーパー 08 九州,152078.1678
