,日付,カテゴリーコード,カテゴリー名称,市場コード,市場名称,数量
102,2022/1/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,443404.5256
105,2022/1/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,390792.5484
108,2022/1/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,360924.3212
111,2022/1/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,358536.0262
114,2022/1/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,406483.7235
117,2022/1/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386439.7891
120,2022/1/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,412142.3707
123,2022/1/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,400232.2301
126,2022/1/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,361744.8108
129,2022/1/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,347686.5607
132,2022/1/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,359843.4451
135,2022/1/15,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,487653.0503
138,2022/1/16,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,403930.6275
141,2022/1/17,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,415224.3333
144,2022/1/18,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,385950.1544
147,2022/1/19,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,344686.8164
150,2022/1/20,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,349769.8895
153,2022/1/21,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,366444.6195
156,2022/1/22,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,443606.7943
159,2022/1/23,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,372649.0907
162,2022/1/24,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,426045.9109
165,2022/1/25,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,446043.8887
168,2022/1/26,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,345952.6904
171,2022/1/27,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,353678.1088
174,2022/1/28,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,362253.3893
177,2022/1/29,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,433973.9561
180,2022/1/30,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,405036.8519
0,2022/2/1,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,447938.8146
3,2022/2/2,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,358781.5499
6,2022/2/3,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,438370.6201
9,2022/2/4,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,350748.3643
12,2022/2/5,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,438306.8949
15,2022/2/6,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,417939.2101
18,2022/2/7,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,408973.4606
21,2022/2/8,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,386631.9773
24,2022/2/9,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,353660.6294
27,2022/2/10,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,359836.1238
30,2022/2/11,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,368760.3899
33,2022/2/12,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,426481.6136
36,2022/2/13,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,382698.6878
39,2022/2/14,1-1--,加工食品,1008--009,RDS06 スーパー 08 九州,408136.7854
